timestamp;nh3;co;no2;dust;uv;temperature;pressure;humidity;wind_speed;wind_direction;
0;1018;1018;1020;845.75;875;25.09;1027.37;23.92;17.56;112.50;
1;1020;1019;1019;843.26;994;25.15;1027.23;23.60;14.22;45.00;
2;1022;1021;1023;845.75;1015;25.04;1027.33;22.61;17.33;112.50;
3;1014;1015;1017;844.09;1023;24.75;1027.24;21.46;11.11;225.00;
4;1021;1023;1023;844.92;938;24.55;1027.21;21.30;21.33;225.00;
5;1017;1017;1016;843.26;926;24.41;1027.28;21.12;29.33;135.00;
6;1022;1022;1020;848.24;924;24.14;1027.29;20.26;16.00;180.00;
7;1019;1020;1021;848.24;934;23.86;1027.36;20.45;27.11;135.00;
8;1020;1023;1021;847.41;928;23.98;1027.22;20.25;29.78;135.00;
9;1023;1023;1022;849.07;941;24.17;1027.31;20.12;41.33;135.00;
10;1016;1016;1014;843.26;932;24.15;1027.32;19.92;17.78;22.50;
11;1020;1023;1023;844.92;931;23.70;1027.41;19.95;14.89;22.50;
12;1019;1020;1022;849.07;948;23.60;1027.38;20.06;12.22;22.50;
13;1022;1023;1020;848.24;931;23.75;1027.38;20.18;6.89;180.00;
14;1022;1022;1023;844.92;936;23.82;1027.46;20.33;25.11;247.50;
15;1019;1020;1023;848.24;939;23.62;1027.42;20.20;15.11;67.50;
16;1021;1021;1018;844.09;936;23.53;1027.29;20.16;30.89;22.50;
17;1023;1023;1022;849.07;936;22.75;1027.34;20.28;16.00;225.00;
18;1021;1021;1021;845.75;941;22.67;1027.46;20.23;16.67;225.00;
19;1022;1022;1020;847.41;951;22.67;1027.41;20.50;9.78;247.50;
20;1018;1019;1020;849.07;939;22.53;1027.60;20.52;44.00;225.00;
21;1022;1022;1022;848.24;941;22.63;1027.41;20.41;13.78;225.00;
22;1020;1021;1023;849.07;953;22.74;1027.15;20.40;46.67;67.50;
23;1015;1017;1017;844.09;953;22.78;1027.38;20.32;16.44;247.50;
24;1020;1022;1022;849.07;947;22.68;1027.29;20.35;23.33;112.50;
25;1018;1018;1018;847.41;949;22.71;1027.23;20.30;56.00;225.00;
26;1018;1021;1018;845.75;946;22.46;1027.33;20.19;23.56;112.50;
27;1022;1023;1022;848.24;942;22.03;1027.30;20.38;34.67;22.50;
28;1017;1016;1017;844.09;943;21.11;1027.30;20.73;11.11;180.00;
29;1023;1023;1023;848.24;948;21.84;1027.14;20.63;7.33;22.50;
30;1019;1019;1023;848.24;944;21.95;1026.99;20.54;19.11;112.50;
31;1022;1022;1023;849.07;963;21.69;1027.13;20.62;21.56;135.00;
32;1022;1022;1022;849.07;953;21.83;1027.41;20.63;11.11;22.50;
33;1023;1023;1023;844.92;954;21.85;1027.42;20.67;12.67;247.50;
34;1017;1017;1014;840.77;955;21.59;1027.34;20.67;10.44;112.50;
35;1014;1014;1014;843.26;952;21.50;1027.38;20.76;8.00;225.00;
36;1019;1020;1018;847.41;954;21.57;1027.54;20.77;30.22;45.00;
37;1019;1020;1020;847.41;954;21.56;1027.62;20.82;21.78;247.50;
38;1018;1019;1020;844.92;965;21.60;1027.20;20.75;18.89;45.00;
39;1020;1022;1019;848.24;950;21.43;1027.33;20.73;9.11;180.00;
40;1022;1023;1023;847.41;959;21.32;1027.40;20.83;18.22;112.50;
41;1018;1021;1019;847.41;964;21.22;1027.29;20.82;15.33;157.50;
42;1016;1016;1016;843.26;967;21.12;1027.24;20.97;24.44;135.00;
43;1022;1021;1021;847.41;956;21.02;1027.34;21.02;18.89;22.50;
44;1018;1019;1019;844.92;961;20.91;1027.19;21.13;42.00;112.50;
45;1023;1020;1023;849.07;972;20.59;1027.25;21.29;34.22;22.50;
46;1016;1016;1017;843.26;967;20.75;1027.42;21.33;16.00;135.00;
47;1021;1019;1020;844.92;960;20.62;1027.17;21.41;54.00;225.00;
48;1019;1019;1023;844.92;969;20.18;1027.36;21.59;47.56;225.00;
49;1021;1021;1018;844.92;909;20.01;1027.05;21.68;44.89;45.00;
50;1019;1022;1023;846.58;923;19.14;1027.41;22.02;34.44;247.50;
51;1023;1023;1022;848.24;907;19.23;1027.32;22.25;29.78;247.50;
52;1016;1018;1021;844.92;906;19.32;1027.10;22.28;35.78;112.50;
53;1021;1018;1023;847.41;906;19.50;1027.28;22.21;18.67;112.50;
54;1023;1023;1023;849.07;924;19.55;1027.38;22.20;17.56;225.00;
